lon,lat,timestamp,speed,name
-7.892888333333333,49.905305,2023-11-11 08:49:13,9.399999618530272,sarahm
-7.315225,49.51542666666667,2023-11-11 12:15:59,9.0,sarahm
-7.030325,49.31679666666667,2023-11-11 14:01:34,9.100000381469728,sarahm
-6.944943333333334,49.25902,2023-11-11 14:32:06,9.199999809265137,sarahm
-6.863363333333333,49.20011,2023-11-11 15:02:36,9.5,sarahm
-6.808275,49.1606,2023-11-11 15:23:19,9.5,sarahm
-6.739111666666667,49.11271666666666,2023-11-11 15:48:05,9.5,sarahm
-6.658213333333333,49.05418,2023-11-11 16:18:07,9.5,sarahm
-6.60357,49.01394333333333,2023-11-11 16:38:49,9.300000190734863,sarahm
-6.52225,48.956091666666666,2023-11-11 17:08:59,9.399999618530272,sarahm
-6.443713333333333,48.897945,2023-11-11 17:39:08,8.899999618530273,sarahm
-6.406246666666667,48.868611666666666,2023-11-11 17:54:18,8.800000190734863,sarahm
-6.33103,48.81190333333333,2023-11-11 18:24:58,8.699999809265137,sarahm
-6.2639483333333335,48.76352166666667,2023-11-11 18:53:21,8.100000381469727,sarahm
-6.176135,48.70262666666667,2023-11-11 19:29:58,7.699999809265137,sarahm
-6.131545,48.67096833333333,2023-11-11 19:49:00,7.5,sarahm
-6.067148333333333,48.629756666666665,2023-11-11 20:14:38,8.0,sarahm
-6.051623333333334,48.620515,2023-11-11 20:20:39,8.0,sarahm
-6.045678333333333,48.617315,2023-11-11 20:22:46,8.600000381469727,sarahm
-6.018326666666667,48.60317166666667,2023-11-11 20:32:59,8.0,sarahm
-6.006231666666666,48.59630166666667,2023-11-11 20:37:47,8.100000381469727,sarahm
-5.9849966666666665,48.586576666666666,2023-11-11 20:45:01,8.800000190734863,sarahm
-5.939855,48.56707,2023-11-11 21:00:37,7.900000095367432,sarahm
-5.913458333333334,48.55633,2023-11-11 21:09:29,7.699999809265137,sarahm
-5.848708333333334,48.52836,2023-11-11 21:30:47,8.899999618530273,sarahm
-5.776486666666667,48.49949333333333,2023-11-11 21:54:47,8.100000381469727,sarahm
-5.76675,48.495345,2023-11-11 21:58:09,8.399999618530273,sarahm
-5.748516666666666,48.48794,2023-11-11 22:04:10,8.800000190734863,sarahm
-5.663213333333333,48.45486833333333,2023-11-11 22:32:12,8.600000381469727,sarahm
-5.629605,48.442881666666665,2023-11-11 22:43:07,8.5,sarahm
-5.579575,48.426425,2023-11-11 22:58:59,8.300000190734863,sarahm
-5.53874,48.41370666666667,2023-11-11 23:11:19,8.800000190734863,sarahm
-5.51866,48.406821666666666,2023-11-11 23:17:28,8.899999618530273,sarahm
-5.498498333333333,48.39964,2023-11-11 23:23:40,8.800000190734863,sarahm
-5.47829,48.39275166666667,2023-11-11 23:29:40,9.199999809265137,sarahm
-5.456618333333333,48.386395,2023-11-11 23:35:49,9.5,sarahm
-5.434201666666667,48.381635,2023-11-11 23:41:50,9.199999809265137,sarahm
-5.389145,48.37132166666667,2023-11-11 23:53:59,9.399999618530272,sarahm
-5.367048333333333,48.36667166666667,2023-11-12 00:00:10,8.899999618530273,sarahm
-5.326025,48.35628166666667,2023-11-12 00:12:10,8.800000190734863,sarahm
-5.286626666666667,48.344591666666666,2023-11-12 00:24:18,8.399999618530273,sarahm
-5.267071666666666,48.33914,2023-11-12 00:30:19,8.699999809265137,sarahm
-5.247768333333333,48.333306666666665,2023-11-12 00:36:19,8.199999809265137,sarahm
-5.228961666666667,48.327061666666665,2023-11-12 00:42:20,8.5,sarahm
-5.204395,48.31924,2023-11-12 00:50:10,9.100000381469728,sarahm
-5.190831666666667,48.31464166666667,2023-11-12 00:54:20,7.900000095367432,sarahm
-5.173721666666666,48.307226666666665,2023-11-12 01:00:30,7.599999904632568,sarahm
-5.15508,48.300311666666666,2023-11-12 01:06:40,8.699999809265137,sarahm
-5.108061666666667,48.28502,2023-11-12 01:21:09,8.899999618530273,sarahm
-5.0998,48.282175,2023-11-12 01:23:42,8.600000381469727,sarahm
-5.06152,48.26858333333333,2023-11-12 01:35:29,9.0,sarahm
-5.0354133333333335,48.25922333333333,2023-11-12 01:43:21,8.800000190734863,sarahm
-5.026868333333334,48.25592666666667,2023-11-12 01:45:59,9.100000381469728,sarahm
-4.90472,48.21292833333333,2023-11-12 02:20:40,9.5,sarahm
-4.890173333333333,48.20800333333333,2023-11-12 02:24:37,9.800000190734863,sarahm
-4.863175,48.198945,2023-11-12 02:32:10,9.699999809265137,sarahm
-4.836785,48.18861833333333,2023-11-12 02:39:38,9.800000190734863,sarahm
-4.8164983333333335,48.180308333333336,2023-11-12 02:45:21,10.199999809265137,sarahm
-4.805883333333333,48.176165,2023-11-12 02:48:19,9.699999809265137,sarahm
-4.7966983333333335,48.17328833333333,2023-11-12 02:50:49,9.699999809265137,sarahm
-4.788798333333333,48.17053,2023-11-12 02:52:59,9.899999618530272,sarahm
-4.782065,48.16867333333333,2023-11-12 02:54:45,9.699999809265137,sarahm
-4.762521666666666,48.162365,2023-11-12 03:00:00,10.199999809265137,sarahm
-4.72657,48.15125333333334,2023-11-12 03:09:46,9.699999809265137,sarahm
-4.682723333333334,48.13755,2023-11-12 03:21:48,9.399999618530272,sarahm
-4.670961666666667,48.13400833333333,2023-11-12 03:25:09,9.399999618530272,sarahm
-4.651656666666667,48.129333333333335,2023-11-12 03:30:08,9.800000190734863,sarahm
-4.637756666666666,48.12738,2023-11-12 03:33:39,9.399999618530272,sarahm
-4.624671666666667,48.125455,2023-11-12 03:36:59,9.5,sarahm
